channel_id,channel_name,description,duration,educational_indicators,genre,quality_score,search_query,thumbnail_url,title,upload_date,video_id,view_count,youtube_url
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,"Humans rule Earth without competition. But we are about to create something that may change that: our last invention, the most ...",16:43,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1003}",ai-innovation,0.8999999999999999,future of artificial intelligence,https://i.ytimg.com/vi/fa8k8IQ1_X0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWjMs56D4Fptj_TOQo9zSSh01OSQ,A.I. ‐ Humanity's Final Invention?,10 months ago,fa8k8IQ1_X0,9615792,https://www.youtube.com/watch?v=fa8k8IQ1_X0
UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Improved protein structure prediction using potentials from ,24:52,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1492}",ai-innovation,0.8999999999999999,deep learning advancements,https://i.ytimg.com/vi/P_fHJIYENdI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4_ZxlEs1wWRIpr0ZNNx0djk84gA,The Most Useful Thing AI Has Ever Done,4 months ago,P_fHJIYENdI,8899083,https://www.youtube.com/watch?v=P_fHJIYENdI
UCAuUUnT6oDeKwE6v1NGQxug,TED,When it comes to ,22:02,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1322}",ai-innovation,0.8500000000000001,AI innovation latest trends,https://i.ytimg.com/vi/KKNCiRWd_j0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBrXY1hsJQu3y_WLzQIQH_n9mLBNQ,What Is an AI Anyway? | Mustafa Suleyman | TED,1 year ago,KKNCiRWd_j0,2399645,https://www.youtube.com/watch?v=KKNCiRWd_j0
UCAuUUnT6oDeKwE6v1NGQxug,TED,"Sal Khan, the founder and CEO of Khan Academy, thinks ",15:37,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 937}",ai-innovation,0.8500000000000001,AI in education technology,https://i.ytimg.com/vi/hJP5GqnTrNo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOhJZohL4vqff7clF18NpNXFE15A,How AI Could Save (Not Destroy) Education | Sal Khan | TED,2 years ago,hJP5GqnTrNo,1875675,https://www.youtube.com/watch?v=hJP5GqnTrNo
UCAuUUnT6oDeKwE6v1NGQxug,TED,AI,10:19,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 619}",ai-innovation,0.8,AI ethics and societal impact,https://i.ytimg.com/vi/eXdVDhOGqoE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCY_-vQ4_1NWbAbmUmHEMkd2-fxEg,"AI Is Dangerous, but Not for the Reasons You Think | Sasha Luccioni | TED",1 year ago,eXdVDhOGqoE,1488279,https://www.youtube.com/watch?v=eXdVDhOGqoE
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,"Don't forget to take the quiz at 04:22! Comment below what you think is the right answer, to be one of the 3 lucky winners who can ...",5:02,"{'has_transcript': False, 'educational_keywords': ['explained', 'learn'], 'difficulty_level': 'beginner', 'course_type': 'standalone', 'estimated_learning_time': 302}",ai-innovation,0.7999999999999999,generative AI applications,https://i.ytimg.com/vi/NRmAXDWJVnU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1bpwl3VgoIVa-fZUKbF1Y6q1Jpg,Generative AI Explained In 5 Minutes | What Is GenAI? | Introduction To Generative AI | Simplilearn,7 months ago,NRmAXDWJVnU,652212,https://www.youtube.com/watch?v=NRmAXDWJVnU
UCAuUUnT6oDeKwE6v1NGQxug,TED,Generative ,10:44,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 644}",ai-innovation,0.75,AI innovation latest trends,https://i.ytimg.com/vi/3MwMII8n1qM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC87qY1bmrDF3PEafWLBZhqF0zqHg,What Will Happen to Marketing in the Age of AI? | Jessica Apotheker | TED,1 year ago,3MwMII8n1qM,675130,https://www.youtube.com/watch?v=3MwMII8n1qM
UCNU_lfiiWBdtULKOw6X0Dig,Krish Naik,In this video we will discuss about the differences between ,17:48,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1068}",ai-innovation,0.75,generative AI applications,https://i.ytimg.com/vi/p4pHsuEf4Ms/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCP1_WJeWaP3_G-pQFrhsSVhEMDtg,Generative AI Vs Agentic AI Vs AI Agents,1 month ago,p4pHsuEf4Ms,155129,https://www.youtube.com/watch?v=p4pHsuEf4Ms
UCAuUUnT6oDeKwE6v1NGQxug,TED,Technologist Tristan Harris has an urgent question: What if the way we're deploying the world's most powerful technology ...,15:15,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 915}",ai-innovation,0.75,AI innovation challenges,https://i.ytimg.com/vi/6kPHnl-RsVI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATaLsPS5OVE-yyqzEUSdO-GQWzSQ,Why AI Is Our Ultimate Test and Greatest Invitation | Tristan Harris | TED,1 month ago,6kPHnl-RsVI,192301,https://www.youtube.com/watch?v=6kPHnl-RsVI
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,Lars Thomsen explores the potential of ,16:06,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 966}",ai-innovation,0.7,AI innovation latest trends,https://i.ytimg.com/vi/QOKLW5ITEiI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWdZODpC12Veb9dO6ZuKSlnXzFkQ,"The future of AI, work, and human potential | Lars Thomsen | TEDxHWZ",5 months ago,QOKLW5ITEiI,52806,https://www.youtube.com/watch?v=QOKLW5ITEiI
