channel_id,channel_name,description,duration,educational_indicators,genre,quality_score,search_query,thumbnail_url,title,upload_date,video_id,view_count,youtube_url
UCAuUUnT6oDeKwE6v1NGQxug,TED,When it comes to ,22:02,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1322}",ai-innovation,0.8,AI innovation latest trends,https://i.ytimg.com/vi/KKNCiRWd_j0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBrXY1hsJQu3y_WLzQIQH_n9mLBNQ,What Is an AI Anyway? | Mustafa Suleyman | TED,1 year ago,KKNCiRWd_j0,2399133,https://www.youtube.com/watch?v=KKNCiRWd_j0
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,"Humans rule Earth without competition. But we are about to create something that may change that: our last invention, the most ...",16:43,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1003}",ai-innovation,0.8,future of artificial intelligence,https://i.ytimg.com/vi/fa8k8IQ1_X0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWjMs56D4Fptj_TOQo9zSSh01OSQ,A.I. ‐ Humanity's Final Invention?,10 months ago,fa8k8IQ1_X0,9611569,https://www.youtube.com/watch?v=fa8k8IQ1_X0
UCAuUUnT6oDeKwE6v1NGQxug,TED,AI,10:19,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 619}",ai-innovation,0.8,AI ethics and societal impact,https://i.ytimg.com/vi/eXdVDhOGqoE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCY_-vQ4_1NWbAbmUmHEMkd2-fxEg,"AI Is Dangerous, but Not for the Reasons You Think | Sasha Luccioni | TED",1 year ago,eXdVDhOGqoE,1487755,https://www.youtube.com/watch?v=eXdVDhOGqoE
UCAuUUnT6oDeKwE6v1NGQxug,TED,"Sal Khan, the founder and CEO of Khan Academy, thinks ",15:37,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 937}",ai-innovation,0.8,AI in education technology,https://i.ytimg.com/vi/hJP5GqnTrNo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOhJZohL4vqff7clF18NpNXFE15A,How AI Could Save (Not Destroy) Education | Sal Khan | TED,2 years ago,hJP5GqnTrNo,1875380,https://www.youtube.com/watch?v=hJP5GqnTrNo
UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Improved protein structure prediction using potentials from ,24:52,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1492}",ai-innovation,0.8,deep learning advancements,https://i.ytimg.com/vi/P_fHJIYENdI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4_ZxlEs1wWRIpr0ZNNx0djk84gA,The Most Useful Thing AI Has Ever Done,4 months ago,P_fHJIYENdI,8896131,https://www.youtube.com/watch?v=P_fHJIYENdI
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,"Don't forget to take the quiz at 04:22! Comment below what you think is the right answer, to be one of the 3 lucky winners who can ...",5:02,"{'has_transcript': False, 'educational_keywords': ['explained', 'learn'], 'difficulty_level': 'beginner', 'course_type': 'standalone', 'estimated_learning_time': 302}",ai-innovation,0.7999999999999999,generative AI applications,https://i.ytimg.com/vi/NRmAXDWJVnU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1bpwl3VgoIVa-fZUKbF1Y6q1Jpg,Generative AI Explained In 5 Minutes | What Is GenAI? | Introduction To Generative AI | Simplilearn,7 months ago,NRmAXDWJVnU,649531,https://www.youtube.com/watch?v=NRmAXDWJVnU
UCAuUUnT6oDeKwE6v1NGQxug,TED,Generative ,10:44,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 644}",ai-innovation,0.7,AI innovation latest trends,https://i.ytimg.com/vi/3MwMII8n1qM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC87qY1bmrDF3PEafWLBZhqF0zqHg,What Will Happen to Marketing in the Age of AI? | Jessica Apotheker | TED,1 year ago,3MwMII8n1qM,674887,https://www.youtube.com/watch?v=3MwMII8n1qM
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,While ,14:19,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 859}",ai-innovation,0.7,AI in healthcare breakthroughs,https://i.ytimg.com/vi/N3wJwz97b8A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzMvoItom-g8S3jghTYcWwtHfvVA,The future of AI in medicine  | Conor Judge | TEDxGalway,1 year ago,N3wJwz97b8A,100405,https://www.youtube.com/watch?v=N3wJwz97b8A
UCcefcZRL2oaA_uBNeo5UOWg,Y Combinator,... Batch 03:34 College Students and ,32:27,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1947}",ai-innovation,0.7,AI startup landscape,https://i.ytimg.com/vi/TwDJhUJL-5o/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCZswl5Y3QBaq20wH6xWDWjkVSPSw,The Truth About Building AI Startups Today,1 year ago,TwDJhUJL-5o,491566,https://www.youtube.com/watch?v=TwDJhUJL-5o
UCAuUUnT6oDeKwE6v1NGQxug,TED,Technologist Tristan Harris has an urgent question: What if the way we're deploying the world's most powerful technology ...,15:15,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 915}",ai-innovation,0.7,AI innovation challenges,https://i.ytimg.com/vi/6kPHnl-RsVI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATaLsPS5OVE-yyqzEUSdO-GQWzSQ,Why AI Is Our Ultimate Test and Greatest Invitation | Tristan Harris | TED,1 month ago,6kPHnl-RsVI,192081,https://www.youtube.com/watch?v=6kPHnl-RsVI
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,Is ,10:10,"{'has_transcript': False, 'educational_keywords': ['learn'], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 610}",ai-innovation,0.6500000000000001,AI in education technology,https://i.ytimg.com/vi/gjDPtzJQnyM/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhyIE0oRjAP&rs=AOn4CLA0zb01UX1foZtnK9g6mh3tPunE-w,"Machine Learning, AI, and the Future of Education | Marc Natanagara | TEDxBrookdaleCommunityCollege",1 year ago,gjDPtzJQnyM,82802,https://www.youtube.com/watch?v=gjDPtzJQnyM
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,Lars Thomsen explores the potential of ,16:06,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 966}",ai-innovation,0.6000000000000001,AI innovation latest trends,https://i.ytimg.com/vi/QOKLW5ITEiI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWdZODpC12Veb9dO6ZuKSlnXzFkQ,"The future of AI, work, and human potential | Lars Thomsen | TEDxHWZ",5 months ago,QOKLW5ITEiI,52752,https://www.youtube.com/watch?v=QOKLW5ITEiI
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,AI,16:36,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 996}",ai-innovation,0.6000000000000001,AI in education technology,https://i.ytimg.com/vi/oV6HWzzeD-I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQlkJGCOoQsDlxI0gQY_SlhzgJ5g,AI Will Reshape Education. Are We Building Tools We Can Trust? | Jim Chilton | TEDxSNHU,2 months ago,oV6HWzzeD-I,15565,https://www.youtube.com/watch?v=oV6HWzzeD-I
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"Gilmour, CEO of Laconic Global, explains how advancements in ",7:23,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 443}",ai-innovation,0.6000000000000001,AI in finance innovation,https://i.ytimg.com/vi/CypoJDvwcjg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDIo0B2igQVEqfrDtVRnel5NVIs6Q,How AI and financial innovation could save the planet | Andrew Gilmour | TEDxStGeorgeStudio,7 months ago,CypoJDvwcjg,84647,https://www.youtube.com/watch?v=CypoJDvwcjg
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,"In this video, we will be covering the ",4:36,"{'has_transcript': False, 'educational_keywords': ['learn', 'beginner'], 'difficulty_level': 'beginner', 'course_type': 'standalone', 'estimated_learning_time': 276}",ai-innovation,0.6,future of artificial intelligence,https://i.ytimg.com/vi/dv9q7Ema40k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBI9UdOBS93yNmQXDDTtP1ZMJkcFA,Future of AI | Future of Artificial Intelligence 2024 | AI Technology for Beginners | Simplilearn,2 years ago,dv9q7Ema40k,223183,https://www.youtube.com/watch?v=dv9q7Ema40k
UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology,"Join Jeff Crume as he dives into the distinctions between Artificial Intelligence (AI), ",10:01,"{'has_transcript': False, 'educational_keywords': ['explained', 'learn'], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 601}",ai-innovation,0.6,deep learning advancements,https://i.ytimg.com/vi/qYNweeDHiyU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqKEjbYKsQ5UOPed6OpHoLzjvSqw,"AI, Machine Learning, Deep Learning and Generative AI Explained",10 months ago,qYNweeDHiyU,1783208,https://www.youtube.com/watch?v=qYNweeDHiyU
UCW0cG4zyFG8oKAlOom4KonQ,Henrik Kniberg,Covers questions like What is ,17:57,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1077}",ai-innovation,0.55,generative AI applications,https://i.ytimg.com/vi/2IK3DFHRFfw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCD-i_Isf_eOAAiy_5MSEFmCMO-g,Generative AI in a Nutshell - how to survive and thrive in the age of AI,1 year ago,2IK3DFHRFfw,3265772,https://www.youtube.com/watch?v=2IK3DFHRFfw
UCsN32BtMd0IoByjJRNF12cw,60 Minutes,Competitive pressure among tech giants is propelling society into the ,27:21,"{'has_transcript': False, 'educational_keywords': [], 'difficulty_level': 'unknown', 'course_type': 'standalone', 'estimated_learning_time': 1641}",ai-innovation,0.5,future of artificial intelligence,https://i.ytimg.com/vi/880TBXMuzmk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCdhcplPN0RTAEF1177tkaEIFDrQg,The AI revolution: Google's developers on the future of artificial intelligence | 60 Minutes,2 years ago,880TBXMuzmk,4171380,https://www.youtube.com/watch?v=880TBXMuzmk
